"id";"label";"group"
"06C6D89A-971B-4176-A525-034855F86992";"pre-Soviet migration from highlands to lowlands";"Events, Periods in Pre-Soviet History [PSH]"
"CE2C9759-10FE-4434-849C-E04B3B8B1D6F";"Uzbekskoe zavoevanie Srednej Azii v nachale XVI v.";"Events, Periods in Pre-Soviet History [PSH]"
"FFBC9304-C5B5-438D-8C42-4315CD455855";"Arabskoe zavoevanie Srednej Azii i vnedrenie islama";"Events, Periods in Pre-Soviet History [PSH]"
"10899EDA-0A8C-4EC0-875A-E9DEB631DA27";"process osedanija kochevnikov v konce XIX - nachale XX vv.";"Events, Periods in Pre-Soviet History [PSH]"
"531AA8C9-3177-42F6-97A9-74C4D17E51A6";"prisoedinenie Kokandskogo khanstva k Rossii";"Events, Periods in Pre-Soviet History [PSH]"
"26B15D70-B453-43F5-8C0E-645E45F03B38";"prisoedinenie Central'noj / Srednej Azii k Rossii";"Events, Periods in Pre-Soviet History [PSH]"
"3559D30A-C061-465F-9302-19BA7B84CE57";"prisoedinenie Vostochnoj Bukhary k Rossii";"Events, Periods in Pre-Soviet History [PSH]"
