"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"event_or_period"
"Ferghana / Ferganskaja dolina";"Karategin";"298880";"1987_1";"gornyj juzhnyj Tadzhikistan, Northern Tajikistan";"past: pre-Soviet";NA;NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"gorcy Tadzhikistana";"karategini Fergany / karategincy Fergany";"301592";"1987_1";"Groups, Groups";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"Groups, tadzhiki";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"302344";"1987_1";"Groups, tadzhiki";"past: pre-Soviet";"Citation informant, local population, interviewee";NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"tadzhiki doliny Jakh-su";"tadzhiki Vakhio";"417025";"1954_3";"gornye tadzhiki, gornye tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Citation Research, Secondary Literature, doklad, soobsshenie";"Continuity";"pre-Soviet migration from highlands to lowlands"
"Ferghana / Ferganskaja dolina";"Karategin";"417695";"1954_3";"Northern Tajikistan, gornyj juzhnyj Tadzhikistan";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";"Rupture";"pre-Soviet migration from highlands to lowlands"
"Gissar";"vostochnaja chast' Bukharskogo khanstva";"422724";"1957_1";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat, Tajikistan / TadzhSSR";"past: pre-Soviet";NA;NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"Kuljabskaja oblast' / Kuljab";"vostochnaja chast' Bukharskogo khanstva";"422724";"1957_1";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat, Southern Tajikistan";"past: pre-Soviet";NA;NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"Gissar";"Kuljabskaja oblast' / Kuljab";"422724";"1957_1";"Tajikistan / TadzhSSR, Southern Tajikistan";"past: pre-Soviet";NA;NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"tadzhiki v sostave Rossijskogo gosudarstva (Russian Empire)";"tadzhiki Vostochnoj Bukhary (Bukharskoe khanstvo)";"436707";"1953_2";"tadzhiki, tadzhiki";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"prisoedinenie Vostochnoj Bukhary k Rossii"
"tadzhiki v sostave Rossijskogo gosudarstva (Russian Empire)";"tadzhiki Zeravshanskoj doliny";"437353";"1953_2";"tadzhiki, tadzhiki";"past: pre-Soviet";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"prisoedinenie Kokandskogo khanstva k Rossii"
"Isfara";"Ura-Tjube";"49854";"1982_3";"Ferghana / Ferganskaja dolina, Ferghana / Ferganskaja dolina";"past: pre-Soviet";"Factual Statement by Author";NA;"prisoedinenie Central'noj / Srednej Azii k Rossii"
"tadzhiki Nuratinskogo khrebta";"Vostochnaja Bukhara / Bukharskoe khanstvo / Bukharskij emirat";"54755";"1964_1";"Historical locations, gornye tadzhiki";"present";"Factual Statement by Author";"Continuity";"pre-Soviet migration from highlands to lowlands"
