"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"event_or_period"
"kazakhi";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"kirgizy";"turkmeny";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"kazakhi";"kirgizy";"29354";"1962_6";"Central Asian titular nations, Central Asian titular nations";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"Kazakhstan / Kazakhskaja SSR";"Uzbekistan / Uzbekskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"Kirgizija / Kirgizskaja SSR";"Uzbekistan / Uzbekskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"Kazakhstan / Kazakhskaja SSR";"Kirgizija / Kirgizskaja SSR";"364182";"1984_3";"Locations, Locations";"present";"Factual Statement by Author";NA;"process urbanizacii / urbanizacija"
"turkmeny";"uzbeki";"379619";"1966_1";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";NA;"Rupture";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x"
"kirgizy";"uzbeki";"379619";"1966_1";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";NA;"Rupture";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x"
"kirgizy";"turkmeny";"379619";"1966_1";"Central Asian titular nations, Central Asian titular nations";"past: early Soviet";NA;"Rupture";"nacional'no-gosudarstvennye razmezhevanija v Srednej Azii 1920x"
